Date,Open,High,Low,Close,Adj Close,Volume
2015-09-28,41.310001,41.900002,41.020000,41.389999,39.601246,1473461
2015-09-29,41.330002,42.500000,41.209999,41.340000,39.553406,1360481
2015-09-30,41.500000,42.889999,41.500000,42.810001,40.959881,4874146
2015-10-01,42.799999,43.029999,42.200001,42.950001,41.093822,2975347
2015-10-02,42.840000,42.869999,42.310001,42.540001,40.701546,2027023
2015-10-05,42.990002,43.599998,42.580002,43.470001,41.591358,3647553
2015-10-06,43.400002,44.000000,43.200001,43.869999,41.974064,1686789
2015-10-07,43.799999,44.250000,43.279999,43.980000,42.079315,3317766
2015-10-08,43.910000,44.500000,42.910000,43.599998,41.715736,2442877
2015-10-09,43.570000,44.400002,43.119999,44.250000,42.337646,1560101
2015-10-12,44.180000,45.000000,44.070000,44.790001,42.854309,1783957
2015-10-13,44.250000,44.830002,44.029999,44.340000,42.423752,1111529
2015-10-14,44.270000,44.630001,43.840000,44.099998,42.194122,734112
2015-10-15,43.900002,44.480000,43.240002,44.049999,42.146282,985450
2015-10-16,44.200001,45.000000,43.980000,44.880001,42.940418,1506333
2015-10-19,44.810001,45.150002,44.430000,45.049999,43.103065,1765527
2015-10-20,45.150002,45.680000,44.439999,45.220001,43.265724,1407343
2015-10-21,45.750000,46.090000,44.700001,45.860001,43.878059,1155757
2015-10-22,45.049999,47.860001,45.049999,47.549999,45.495022,3596417
2015-10-23,47.500000,47.799999,46.820000,47.340000,45.294102,1594848
2015-10-26,46.860001,47.830002,46.750000,47.700001,45.638546,1192054
2015-10-27,47.630001,48.000000,46.799999,46.919998,44.892254,1845769
2015-10-28,46.939999,47.169998,46.000000,46.680000,44.662628,1275126
2015-10-29,45.930000,46.930000,45.580002,46.610001,44.595654,2100192
2015-10-30,46.990002,47.020000,45.700001,46.869999,44.844410,3530072
2015-11-03,46.799999,49.000000,46.779999,48.490002,46.394405,2530063
2015-11-04,48.419998,49.000000,47.439999,48.750000,46.643162,1490601
2015-11-05,48.299999,48.980000,46.639999,47.090000,45.054909,1978074
