Date,Open,High,Low,Close,Adj Close,Volume
2015-09-28,80.029999,80.779999,79.050003,79.879997,69.542511,6541803
2015-09-29,79.860001,81.010002,78.809998,80.820000,70.360886,4512702
2015-09-30,80.919998,83.180000,80.510002,82.800003,72.084641,7797567
2015-10-01,83.500000,83.599998,82.290001,82.879997,72.154282,7710581
2015-10-02,82.879997,84.239998,81.949997,83.709999,72.876869,4156882
2015-10-05,84.500000,84.800003,82.809998,83.730003,72.894287,4531830
2015-10-06,83.730003,84.169998,82.000000,82.529999,71.849579,5271134
2015-10-07,83.190002,83.989998,81.970001,82.139999,71.510048,6791043
2015-10-08,82.120003,82.709999,81.959999,82.389999,71.727699,6097366
2015-10-09,82.790001,84.400002,82.400002,83.339996,72.554749,5750782
2015-10-12,83.989998,84.529999,83.540001,83.910004,73.050995,11552582
2015-10-13,83.879997,85.000000,83.750000,84.860001,73.878052,7272101
2015-10-14,84.110001,85.300003,84.110001,85.059998,74.052162,4778512
2015-10-15,85.000000,86.199997,84.010002,86.029999,74.896629,5389804
2015-10-16,85.410004,88.169998,85.410004,88.000000,76.611702,9840215
2015-10-19,87.699997,88.489998,86.529999,88.150002,76.742279,6539357
2015-10-20,88.010002,88.110001,87.199997,87.709999,76.359222,3886968
2015-10-21,88.290001,88.680000,87.320000,88.059998,76.663933,2901582
2015-10-22,88.199997,89.989998,87.230003,87.959999,76.576859,4152884
2015-10-23,88.500000,91.150002,88.379997,90.910004,79.145096,8671348
2015-10-26,91.209999,91.209999,87.750000,87.970001,76.585579,2824435
2015-10-27,88.269997,90.000000,87.199997,89.889999,78.257103,4997227
2015-10-28,88.910004,92.000000,88.910004,91.300003,79.484634,6891295
2015-10-29,91.389999,91.589996,90.209999,90.849998,79.092865,3173733
2015-10-30,91.000000,91.150002,88.309998,88.949997,77.438744,5322626
2015-11-03,88.019997,94.190002,88.019997,93.650002,81.530510,9500296
2015-11-04,93.180000,96.589996,93.180000,96.269997,83.811447,9969953
2015-11-05,96.080002,96.570000,94.500000,94.739998,82.479446,6114944
2015-11-06,94.739998,95.410004,93.540001,94.690002,82.435936,3097906
2015-11-09,94.599998,94.989998,91.500000,91.790001,79.911224,7204109
2015-11-10,89.099998,91.980003,89.099998,91.349998,79.528152,4436116
2015-11-11,91.099998,92.489998,91.099998,91.589996,79.737099,3024591
